region,basin,SSTlo,maxage,n
Abrolhos,IO,20.41,15,59
Chagos,IO,27.78,9,153
Christmas,IO,26.73,9,16
Cocos,IO,26.72,9,60
Djibouti,IO,26.15,9,22
Guam,PO,27.6,9,356
Okinawa,PO,21.89,12,29
Iriomote,PO,23.47,8,27
Kanton,PO,27.71,8,20
Kavieng,PO,29.42,9,64
Moorea,PO,26.42,12,105
Lizard,PO,24.65,9,193
Nikumaroro,PO,28.8,4,10
Ningaloo,IO,24.09,11,27
Oahu,PO,23.99,11,135
Oman_Central,IO,23.92,13,69
Oman_North,IO,23.57,14,27
Orona,PO,28.66,8,21
Palau,PO,28.52,8,76
Pohnpei,PO,28.72,6,48
RedSea_North,IO,23.15,8,25
Farasans,IO,26.45,6,57
Rose,PO,27.88,11,106
Rowley,IO,25.37,7,61
Heron,PO,21.65,10,59
Saipan,PO,27.52,10,153
Savaii,PO,28.18,8,52
Scott,IO,26.58,10,137
SeyAm,IO,24.85,9,49
SeyGran,IO,26.29,9,50
Solomons,PO,28.39,8,29
Somalia,IO,26.34,5,28
Tonga,PO,23.76,13,104
Tutuila,PO,27.89,9,97
Upolu,PO,28.17,8,51
Yap,PO,28.16,7,46
